BTS ASCII format

Type:         	Torque 3D tracks
Measure unit: 	N*m

Tracks:       	2
Frequency:    	200 Hz
Frames:       	1001
Start time:   	0.000

 Frame	 Time	    r gr.X	    r gr.Y	    r gr.Z	    l gr.X	    l gr.Y	    l gr.Z	
    84	0.420	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    85	0.425	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    86	0.430	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    87	0.435	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    88	0.440	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    89	0.445	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    90	0.450	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    91	0.455	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    92	0.460	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    93	0.465	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    94	0.470	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    95	0.475	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    96	0.480	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    97	0.485	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    98	0.490	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
    99	0.495	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   100	0.500	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   101	0.505	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   102	0.510	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   103	0.515	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   104	0.520	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   105	0.525	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   106	0.530	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   107	0.535	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   108	0.540	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   109	0.545	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   110	0.550	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   111	0.555	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   112	0.560	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   113	0.565	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   114	0.570	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   115	0.575	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   116	0.580	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   117	0.585	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   118	0.590	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   119	0.595	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   120	0.600	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   121	0.605	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   122	0.610	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   123	0.615	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   124	0.620	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   125	0.625	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   126	0.630	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   127	0.635	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   128	0.640	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   129	0.645	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   130	0.650	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   131	0.655	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   132	0.660	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   133	0.665	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   134	0.670	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   135	0.675	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   136	0.680	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   137	0.685	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   138	0.690	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   139	0.695	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   140	0.700	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   141	0.705	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   142	0.710	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   143	0.715	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   144	0.720	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   145	0.725	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   146	0.730	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   147	0.735	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   148	0.740	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   149	0.745	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   150	0.750	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   151	0.755	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   152	0.760	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   153	0.765	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   154	0.770	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   155	0.775	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   156	0.780	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   157	0.785	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   158	0.790	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   159	0.795	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   160	0.800	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   161	0.805	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   162	0.810	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   163	0.815	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   164	0.820	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   165	0.825	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   166	0.830	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   167	0.835	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   168	0.840	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   169	0.845	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   170	0.850	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   171	0.855	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   172	0.860	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   173	0.865	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   174	0.870	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   175	0.875	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   176	0.880	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   177	0.885	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   178	0.890	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   179	0.895	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   180	0.900	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   181	0.905	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   182	0.910	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   183	0.915	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   184	0.920	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   185	0.925	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   186	0.930	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   187	0.935	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   188	0.940	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   189	0.945	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   190	0.950	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   191	0.955	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   192	0.960	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   193	0.965	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   194	0.970	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   195	0.975	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   196	0.980	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   197	0.985	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   198	0.990	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   199	0.995	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   200	1.000	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   201	1.005	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   202	1.010	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   203	1.015	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   204	1.020	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   205	1.025	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   206	1.030	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   207	1.035	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   208	1.040	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   209	1.045	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   210	1.050	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   211	1.055	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   212	1.060	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   213	1.065	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   214	1.070	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   215	1.075	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   216	1.080	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   217	1.085	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   218	1.090	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   219	1.095	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   220	1.100	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   221	1.105	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   222	1.110	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   223	1.115	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   224	1.120	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   225	1.125	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   226	1.130	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   227	1.135	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   228	1.140	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   229	1.145	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   230	1.150	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   231	1.155	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   232	1.160	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   233	1.165	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   234	1.170	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   235	1.175	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   236	1.180	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   237	1.185	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   238	1.190	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   239	1.195	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   240	1.200	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   241	1.205	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   242	1.210	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   243	1.215	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   244	1.220	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   245	1.225	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   246	1.230	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   247	1.235	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   248	1.240	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   249	1.245	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   250	1.250	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   251	1.255	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   252	1.260	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   253	1.265	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   254	1.270	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   255	1.275	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   256	1.280	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   257	1.285	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   258	1.290	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   259	1.295	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   260	1.300	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   261	1.305	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   262	1.310	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   263	1.315	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   264	1.320	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   265	1.325	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   266	1.330	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   267	1.335	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   268	1.340	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   269	1.345	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   270	1.350	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   271	1.355	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   272	1.360	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   273	1.365	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   274	1.370	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   275	1.375	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   276	1.380	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   277	1.385	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   278	1.390	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   279	1.395	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   280	1.400	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   281	1.405	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   282	1.410	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   283	1.415	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   284	1.420	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   285	1.425	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   286	1.430	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   287	1.435	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   288	1.440	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   289	1.445	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   290	1.450	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   291	1.455	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   292	1.460	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   293	1.465	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   294	1.470	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   295	1.475	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   296	1.480	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   297	1.485	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   298	1.490	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   299	1.495	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   300	1.500	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   301	1.505	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   302	1.510	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   303	1.515	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   304	1.520	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   305	1.525	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   306	1.530	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   307	1.535	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   308	1.540	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   309	1.545	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   310	1.550	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   311	1.555	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   312	1.560	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   313	1.565	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   314	1.570	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   315	1.575	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   316	1.580	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   317	1.585	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   318	1.590	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   319	1.595	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   320	1.600	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   321	1.605	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   322	1.610	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   323	1.615	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   324	1.620	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   325	1.625	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   326	1.630	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   327	1.635	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   328	1.640	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   329	1.645	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   330	1.650	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   331	1.655	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   332	1.660	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   333	1.665	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   334	1.670	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   335	1.675	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   336	1.680	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   337	1.685	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   338	1.690	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   339	1.695	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   340	1.700	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   341	1.705	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   342	1.710	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   343	1.715	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   344	1.720	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   345	1.725	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   346	1.730	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   347	1.735	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   348	1.740	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   349	1.745	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   350	1.750	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   351	1.755	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   352	1.760	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   353	1.765	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   354	1.770	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   355	1.775	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   356	1.780	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   357	1.785	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   358	1.790	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   359	1.795	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
   360	1.800	       NaN	       NaN	       NaN	       NaN	       NaN	       NaN	
